iucn_sid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
16720036,Lethrinus lentjan,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Pinkear Emperor,"(Lacepède, 1802)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,50,NA,NA,NA,NA
16720083,Lethrinus microdon,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Smalltooth Emperor,"Valenciennes, 1830",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,10,80,NA,NA,NA,NA
16720267,Lethrinus obsoletus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Orange-striped Emperor,"(Forsskål, 1775)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,30,NA,NA,NA,NA
16720328,Lethrinus olivaceus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Longface Emperor,"Valenciennes, 1830",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,1,185,NA,NA,NA,NA
16720528,Lethrinus rubrioperculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Spotcheek Emperor,"Sato, 1978",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,160,NA,NA,NA,NA
16720537,Lethrinus semicinctus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Black-Spot Emperor,"Valenciennes, 1830",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,35,NA,NA,NA,NA
16720568,Lethrinus variegatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Slender Emperor,"Valenciennes, 1830",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,25,NA,NA,NA,NA
16720577,Lethrinus xanthochilus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Yellowlip Emperor,"Klunzinger, 1870",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,150,NA,NA,NA,NA
16720607,Monotaxis grandoculis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Monotaxis,Humpnose Big-eye Bream,"(Forsskål, 1775)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,3,60,NA,NA,NA,NA
16721443,Monotaxis heterodon,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Monotaxis,Redfin Emperor,"(Bleeker, 1854)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,3,25,NA,NA,NA,NA
