iucn_sid,eez_km2,nms_km2,terr_km2
155268,4100,0,3900
155277,3800,0,3600
155290,4100,0,3900
155308,4100,0,3900
155314,3800,0,3600
158627,4100,0,3900
158632,100,0,100
161526,3800,0,3600
161597,616200,476200,24200
161696,616200,476200,24200
165615,4100,0,3900
165620,4100,0,3900
165622,4100,0,3900
165623,4100,0,3900
165626,4100,0,3900
165628,4100,0,3900
165630,4100,0,3900
165631,4100,0,3900
165632,4100,0,3900
165638,4100,0,3900
165640,4100,0,3900
165641,4100,0,3900
165645,3800,0,3600
165650,4100,0,3900
165651,4100,0,3900
165652,4100,0,3900
165653,3500,0,3500
165656,3800,0,3600
165657,4100,0,3900
165664,4100,0,3900
165665,4100,0,3900
165667,4100,0,3900
165668,4100,0,3900
165669,4100,0,3900
165672,4100,0,3900
165676,3900,0,3700
165680,4100,0,3900
165681,4100,0,3900
165686,4100,0,3900
165689,4100,0,3900
165692,4100,0,3900
165694,4100,0,3900
165702,3800,0,3600
165704,4100,0,3900
165711,4100,0,3900
165712,136700,91900,24100
165713,4100,0,3900
165714,4100,0,3900
165716,4100,0,3900
165718,3600,0,3600
165725,4100,0,3900
165828,4100,0,3900
165829,3800,0,3600
165835,4100,0,3900
165838,3800,0,3600
165840,4100,0,3900
165843,4100,0,3900
165848,3800,0,3600
165851,300,0,300
165852,4100,0,3900
165860,4100,0,3900
165862,4100,0,3900
165864,4100,0,3900
165867,4100,0,3900
165868,4100,0,3900
165871,4100,0,3900
165872,3800,0,3600
165885,4100,0,3900
165893,4100,0,3900
165896,3800,0,3600
165900,3500,0,3500
165901,4100,0,3900
165902,4100,0,3900
166077,4100,0,3900
166138,4100,0,3900
166533,4100,0,3900
166575,3800,0,3600
166868,137000,91900,24400
166892,63000,29900,12400
166897,4100,0,3900
166919,4100,0,3900
166925,4100,0,3900
166947,136300,91600,24100
168374,3800,0,3600
169015,4100,0,3900
169679,3800,0,3600
169951,4100,0,3900
169962,480000,384700,100
169968,136400,91700,24100
170043,300,300,0
170063,4100,0,3900
170071,300,0,300
170086,266900,207200,100
170198,4100,0,3900
170309,616200,476200,24200
170310,616200,476200,24200
170312,616200,476200,24200
170314,549700,415400,18500
170315,549700,415400,18500
170316,71300,64500,6800
170318,100,0,100
170324,154400,144400,10000
170328,616200,476200,24200
170329,37400,35700,1700
170331,616200,476200,24200
170336,342500,316600,11800
170338,616200,476200,24200
170341,382100,256500,12400
170344,229700,217400,11800
170350,616200,476200,24200
170351,32700,32700,0
170355,229700,217400,11800
170358,147300,100700,12400
172393,4100,0,3900
172416,600,0,600
172443,4100,0,3900
172450,3800,0,3600
172487,4100,0,3900
172495,3800,0,3600
172497,4100,0,3900
173327,4100,0,3900
173328,4100,0,3900
173331,4100,0,3900
173332,4100,0,3900
173352,300,0,300
173358,4100,0,3900
173363,4100,0,3900
173364,4100,0,3900
173375,4100,0,3900
173376,4100,0,3900
176726,200,0,200
176735,4000,0,3800
176737,200,0,200
176738,52300,21600,19700
176743,200,0,200
176746,200,0,200
176750,4000,0,3800
176771,4000,0,3800
177950,4100,0,3900
177951,4100,0,3900
177955,4100,0,3900
177957,4100,0,3900
177958,4100,0,3900
177961,300,0,300
177965,4100,0,3900
177967,4100,0,3900
177969,4100,0,3900
177970,4100,0,3900
177971,4100,0,3900
177972,4100,0,3900
177977,3800,0,3600
177978,4100,0,3900
177979,4100,0,3900
177980,4100,0,3900
177981,4100,0,3900
177983,4100,0,3900
177986,4100,0,3900
177988,4100,0,3900
177989,4100,0,3900
177990,4100,0,3900
