iucn_sid,eez_km2,nms_km2,terr_km2,sciname,kingdom,phylum,class,order,family,genus,comname,category,criteria,population_trend,depth_upper,depth_lower,depth_class,hab,habitat
13006,616200,476200,24200,Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,Humpback Whale,LC,NA,Increasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
13006,616200,476200,24200,Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,Humpback Whale,LC,NA,Increasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
13006,616200,476200,24200,Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,Humpback Whale,LC,NA,Increasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
13244,616200,476200,24200,Mesoplodon densirostris,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Blainville's Beaked Whale,DD,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
13244,616200,476200,24200,Mesoplodon densirostris,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Blainville's Beaked Whale,DD,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
13244,616200,476200,24200,Mesoplodon densirostris,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Blainville's Beaked Whale,DD,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
13246,616200,476200,24200,Mesoplodon ginkgodens,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Ginkgo-toothed Beaked Whale,DD,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
13246,616200,476200,24200,Mesoplodon ginkgodens,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Ginkgo-toothed Beaked Whale,DD,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
13246,616200,476200,24200,Mesoplodon ginkgodens,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Ginkgo-toothed Beaked Whale,DD,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
15421,616200,476200,24200,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Killer Whale,DD,NA,Unknown,1000,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
15421,616200,476200,24200,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Killer Whale,DD,NA,Unknown,1000,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
15421,616200,476200,24200,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Killer Whale,DD,NA,Unknown,1000,NA,200 m +,9.1,Marine Neritic - Pelagic
15421,616200,476200,24200,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Killer Whale,DD,NA,Unknown,1000,NA,200 m +,9.1,Marine Neritic - Estuaries
15421,616200,476200,24200,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Killer Whale,DD,NA,Unknown,1000,NA,200 m +,9.1,Marine Neritic - Pelagic
15421,616200,476200,24200,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Killer Whale,DD,NA,Unknown,1000,NA,200 m +,9.1,Marine Neritic - Estuaries
16011,24500,2800,12400,Favonigobius melanobranchus,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Favonigobius,Blackthroat Goby,LR/nt,NA,NA,NA,NA,unknown,NA,NA
16012,3800,0,3600,Favonigobius reichei,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Favonigobius,Indo-pacific Tropical Sand Goby,LC,NA,Unknown,NA,NA,< 200 m,9.1,Marine Neritic - Pelagic
